OBJECTID,REPDIST,PREC,APREC,BUREAU,BASICCAR,TOOLTIP
42,1608,16,FOOTHILL,VALLEY BUREAU,16A35,Bureau: VALLEY BUREAU\nDistrict: 1608\nDivision: FOOTHILL
43,1614,16,FOOTHILL,VALLEY BUREAU,16A35,Bureau: VALLEY BUREAU\nDistrict: 1614\nDivision: FOOTHILL
44,1936,19,MISSION,VALLEY BUREAU,19A43,Bureau: VALLEY BUREAU\nDistrict: 1936\nDivision: MISSION
45,1613,16,FOOTHILL,VALLEY BUREAU,16A23,Bureau: VALLEY BUREAU\nDistrict: 1613\nDivision: FOOTHILL
46,1612,16,FOOTHILL,VALLEY BUREAU,16A11,Bureau: VALLEY BUREAU\nDistrict: 1612\nDivision: FOOTHILL
47,1729,17,DEVONSHIRE,VALLEY BUREAU,17A35,Bureau: VALLEY BUREAU\nDistrict: 1729\nDivision: DEVONSHIRE
48,1717,17,DEVONSHIRE,VALLEY BUREAU,17A49,Bureau: VALLEY BUREAU\nDistrict: 1717\nDivision: DEVONSHIRE
49,1935,19,MISSION,VALLEY BUREAU,19A43,Bureau: VALLEY BUREAU\nDistrict: 1935\nDivision: MISSION
50,1944,19,MISSION,VALLEY BUREAU,19A43,Bureau: VALLEY BUREAU\nDistrict: 1944\nDivision: MISSION
51,1718,17,DEVONSHIRE,VALLEY BUREAU,17A49,Bureau: VALLEY BUREAU\nDistrict: 1718\nDivision: DEVONSHIRE
52,1719,17,DEVONSHIRE,VALLEY BUREAU,17A49,Bureau: VALLEY BUREAU\nDistrict: 1719\nDivision: DEVONSHIRE
53,1934,19,MISSION,VALLEY BUREAU,19A43,Bureau: VALLEY BUREAU\nDistrict: 1934\nDivision: MISSION
54,1615,16,FOOTHILL,VALLEY BUREAU,16A35,Bureau: VALLEY BUREAU\nDistrict: 1615\nDivision: FOOTHILL
55,1721,17,DEVONSHIRE,VALLEY BUREAU,17A23,Bureau: VALLEY BUREAU\nDistrict: 1721\nDivision: DEVONSHIRE
56,1728,17,DEVONSHIRE,VALLEY BUREAU,17A35,Bureau: VALLEY BUREAU\nDistrict: 1728\nDivision: DEVONSHIRE
57,1737,17,DEVONSHIRE,VALLEY BUREAU,17A35,Bureau: VALLEY BUREAU\nDistrict: 1737\nDivision: DEVONSHIRE
58,1633,16,FOOTHILL,VALLEY BUREAU,16A23,Bureau: VALLEY BUREAU\nDistrict: 1633\nDivision: FOOTHILL
59,1622,16,FOOTHILL,VALLEY BUREAU,16A11,Bureau: VALLEY BUREAU\nDistrict: 1622\nDivision: FOOTHILL
60,1634,16,FOOTHILL,VALLEY BUREAU,16A35,Bureau: VALLEY BUREAU\nDistrict: 1634\nDivision: FOOTHILL
61,1727,17,DEVONSHIRE,VALLEY BUREAU,17A35,Bureau: VALLEY BUREAU\nDistrict: 1727\nDivision: DEVONSHIRE
62,1635,16,FOOTHILL,VALLEY BUREAU,16A35,Bureau: VALLEY BUREAU\nDistrict: 1635\nDivision: FOOTHILL
63,1723,17,DEVONSHIRE,VALLEY BUREAU,17A23,Bureau: VALLEY BUREAU\nDistrict: 1723\nDivision: DEVONSHIRE
64,1943,19,MISSION,VALLEY BUREAU,19A43,Bureau: VALLEY BUREAU\nDistrict: 1943\nDivision: MISSION
65,1725,17,DEVONSHIRE,VALLEY BUREAU,17A23,Bureau: VALLEY BUREAU\nDistrict: 1725\nDivision: DEVONSHIRE
66,1636,16,FOOTHILL,VALLEY BUREAU,16A35,Bureau: VALLEY BUREAU\nDistrict: 1636\nDivision: FOOTHILL
67,1623,16,FOOTHILL,VALLEY BUREAU,16A23,Bureau: VALLEY BUREAU\nDistrict: 1623\nDivision: FOOTHILL
68,1735,17,DEVONSHIRE,VALLEY BUREAU,17A35,Bureau: VALLEY BUREAU\nDistrict: 1735\nDivision: DEVONSHIRE
69,1941,19,MISSION,VALLEY BUREAU,19A43,Bureau: VALLEY BUREAU\nDistrict: 1941\nDivision: MISSION
70,1738,17,DEVONSHIRE,VALLEY BUREAU,17A49,Bureau: VALLEY BUREAU\nDistrict: 1738\nDivision: DEVONSHIRE
71,1645,16,FOOTHILL,VALLEY BUREAU,16A23,Bureau: VALLEY BUREAU\nDistrict: 1645\nDivision: FOOTHILL
72,1739,17,DEVONSHIRE,VALLEY BUREAU,17A49,Bureau: VALLEY BUREAU\nDistrict: 1739\nDivision: DEVONSHIRE
73,1621,16,FOOTHILL,VALLEY BUREAU,16A11,Bureau: VALLEY BUREAU\nDistrict: 1621\nDivision: FOOTHILL
74,1654,16,FOOTHILL,VALLEY BUREAU,16A23,Bureau: VALLEY BUREAU\nDistrict: 1654\nDivision: FOOTHILL
75,1945,19,MISSION,VALLEY BUREAU,19A43,Bureau: VALLEY BUREAU\nDistrict: 1945\nDivision: MISSION
76,1637,16,FOOTHILL,VALLEY BUREAU,16A35,Bureau: VALLEY BUREAU\nDistrict: 1637\nDivision: FOOTHILL
77,1643,16,FOOTHILL,VALLEY BUREAU,16A23,Bureau: VALLEY BUREAU\nDistrict: 1643\nDivision: FOOTHILL
78,1655,16,FOOTHILL,VALLEY BUREAU,16A35,Bureau: VALLEY BUREAU\nDistrict: 1655\nDivision: FOOTHILL
79,1745,17,DEVONSHIRE,VALLEY BUREAU,17A49,Bureau: VALLEY BUREAU\nDistrict: 1745\nDivision: DEVONSHIRE
80,1722,17,DEVONSHIRE,VALLEY BUREAU,17A23,Bureau: VALLEY BUREAU\nDistrict: 1722\nDivision: DEVONSHIRE
81,1747,17,DEVONSHIRE,VALLEY BUREAU,17A49,Bureau: VALLEY BUREAU\nDistrict: 1747\nDivision: DEVONSHIRE
82,1743,17,DEVONSHIRE,VALLEY BUREAU,17A35,Bureau: VALLEY BUREAU\nDistrict: 1743\nDivision: DEVONSHIRE
83,1749,17,DEVONSHIRE,VALLEY BUREAU,17A49,Bureau: VALLEY BUREAU\nDistrict: 1749\nDivision: DEVONSHIRE
84,1959,19,MISSION,VALLEY BUREAU,19A79,Bureau: VALLEY BUREAU\nDistrict: 1959\nDivision: MISSION
85,1954,19,MISSION,VALLEY BUREAU,19A43,Bureau: VALLEY BUREAU\nDistrict: 1954\nDivision: MISSION
86,1951,19,MISSION,VALLEY BUREAU,19A43,Bureau: VALLEY BUREAU\nDistrict: 1951\nDivision: MISSION
87,1955,19,MISSION,VALLEY BUREAU,19A43,Bureau: VALLEY BUREAU\nDistrict: 1955\nDivision: MISSION
88,1642,16,FOOTHILL,VALLEY BUREAU,16A23,Bureau: VALLEY BUREAU\nDistrict: 1642\nDivision: FOOTHILL
89,1958,19,MISSION,VALLEY BUREAU,19A79,Bureau: VALLEY BUREAU\nDistrict: 1958\nDivision: MISSION
90,1638,16,FOOTHILL,VALLEY BUREAU,16A59,Bureau: VALLEY BUREAU\nDistrict: 1638\nDivision: FOOTHILL
91,1665,16,FOOTHILL,VALLEY BUREAU,16A77,Bureau: VALLEY BUREAU\nDistrict: 1665\nDivision: FOOTHILL
92,1639,16,FOOTHILL,VALLEY BUREAU,16A59,Bureau: VALLEY BUREAU\nDistrict: 1639\nDivision: FOOTHILL
93,1641,16,FOOTHILL,VALLEY BUREAU,16A23,Bureau: VALLEY BUREAU\nDistrict: 1641\nDivision: FOOTHILL
94,1656,16,FOOTHILL,VALLEY BUREAU,16A35,Bureau: VALLEY BUREAU\nDistrict: 1656\nDivision: FOOTHILL
95,1659,16,FOOTHILL,VALLEY BUREAU,16A59,Bureau: VALLEY BUREAU\nDistrict: 1659\nDivision: FOOTHILL
96,1751,17,DEVONSHIRE,VALLEY BUREAU,17A23,Bureau: VALLEY BUREAU\nDistrict: 1751\nDivision: DEVONSHIRE
97,1756,17,DEVONSHIRE,VALLEY BUREAU,17A49,Bureau: VALLEY BUREAU\nDistrict: 1756\nDivision: DEVONSHIRE
